id,name,category,cost
P001,Bluetooth Earbuds,Electronics,22.50
P002,USB-C Cable 2m,Accessories,4.20
P003,Wireless Mouse,Electronics,9.80
P004,Mechanical Keyboard,Electronics,68.00
P005,Standing Desk Mat,Office,42.00
P006,4K Monitor 27in,Electronics,720.00
P007,Office Chair Pro,Office,520.00
P008,Tablet 10in,Electronics,260.00
P009,Action Camera,Electronics,180.00
P010,Smart Light Bulb,Electronics,38.00
P011,Notebook A5,Stationery,2.10
P012,Gel Pen Pack,Stationery,4.80
P013,Desk Lamp LED,Office,8.50
